[2024-05-25 20:42:08.347609][INFO],sample=14161,bump_count=197
[2024-05-25 20:42:08.360834][INFO],sample=14162,bump_count=198
[2024-05-25 20:42:08.374067][INFO],sample=14163,bump_count=199
[2024-05-25 20:42:08.387302][INFO],sample=14164,bump_count=200
[2024-05-25 20:42:08.400557][INFO],sample=14165,bump_count=201
[2024-05-25 20:42:08.413798][INFO],sample=14166,bump_count=202
[2024-05-25 20:42:08.427042][INFO],sample=14167,bump_count=203
[2024-05-25 20:42:08.440272][INFO],sample=14168,bump_count=204
[2024-05-25 20:42:08.453503][INFO],sample=14169,bump_count=205
[2024-05-25 20:42:08.466727][INFO],sample=14170,bump_count=206
[2024-05-25 20:42:08.479958][INFO],sample=14171,bump_count=207
[2024-05-25 20:42:08.493200][INFO],sample=14172,bump_count=208
[2024-05-25 20:42:08.506460][INFO],sample=14173,bump_count=209
[2024-05-25 20:42:08.519725][INFO],sample=14174,bump_count=210
[2024-05-25 20:42:08.532958][INFO],sample=14175,bump_count=211
[2024-05-25 20:42:08.546213][INFO],sample=14176,bump_count=212
[2024-05-25 20:42:08.559449][INFO],sample=14177,bump_count=213
[2024-05-25 20:42:08.572674][INFO],sample=14178,bump_count=214
[2024-05-25 20:42:08.585916][INFO],sample=14179,bump_count=215
[2024-05-25 20:42:08.599157][INFO],sample=14180,bump_count=216
[2024-05-25 20:42:08.612387][INFO],sample=14181,bump_count=217
[2024-05-25 20:42:08.625620][INFO],sample=14182,bump_count=218
[2024-05-25 20:42:08.638848][INFO],sample=14183,bump_count=219
[2024-05-25 20:42:08.652134][INFO],sample=14184,bump_count=220
[2024-05-25 20:42:08.665506][INFO],sample=14185,bump_count=221
[2024-05-25 20:42:08.678860][INFO],sample=14186,bump_count=222
[2024-05-25 20:42:08.692223][INFO],sample=14187,bump_count=223
[2024-05-25 20:42:08.705508][INFO],sample=14188,bump_count=224
[2024-05-25 20:42:08.718743][INFO],sample=14189,bump_count=225
[2024-05-25 20:42:08.731979][INFO],sample=14190,bump_count=226
[2024-05-25 20:42:08.745206][INFO],sample=14191,bump_count=227
[2024-05-25 20:42:08.758448][INFO],sample=14192,bump_count=228
[2024-05-25 20:42:08.771700][INFO],sample=14193,bump_count=229
[2024-05-25 20:42:08.784928][INFO],sample=14194,bump_count=230
[2024-05-25 20:42:08.798203][INFO],sample=14195,bump_count=231
[2024-05-25 20:42:08.811551][INFO],sample=14196,bump_count=232
[2024-05-25 20:42:08.824818][INFO],sample=14197,bump_count=233
[2024-05-25 20:42:08.838079][INFO],sample=14198,bump_count=234
[2024-05-25 20:42:08.851339][INFO],sample=14199,bump_count=235
[2024-05-25 20:42:08.864592][INFO],sample=14200,bump_count=236
[2024-05-25 20:42:08.877865][INFO],sample=14201,bump_count=237
[2024-05-25 20:42:08.891142][INFO],sample=14202,bump_count=238
[2024-05-25 20:42:08.904413][INFO],sample=14203,bump_count=239
[2024-05-25 20:42:08.917741][INFO],sample=14204,bump_count=240
