lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess
40,13.000000,0.250000,21,10,11,11,0,11,47.619048,0.000000,0.300000
40,13.000000,0.250000,21,8,13,11,0,11,38.095238,0.000000,0.400000
40,15.000000,0.250000,21,8,13,11,0,11,38.095238,0.000000,0.100000
40,15.000000,0.250000,21,12,9,11,4,7,57.142857,36.363636,0.200000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.150000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.160000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.170000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.180000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.190000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.200000
40,5.000000,0.250000,21,0,21,11,3,8,0.000000,27.272727,0.210000
40,5.000000,0.250000,21,0,21,11,3,8,0.000000,27.272727,0.220000
40,5.000000,0.250000,21,0,21,11,2,9,0.000000,18.181818,0.230000
40,5.000000,0.250000,21,0,21,11,2,9,0.000000,18.181818,0.240000
40,7.000000,0.250000,21,11,10,11,7,4,52.380952,63.636364,0.150000
40,7.000000,0.250000,21,11,10,11,7,4,52.380952,63.636364,0.160000
40,7.000000,0.250000,21,12,9,11,7,4,57.142857,63.636364,0.170000
40,7.000000,0.250000,21,12,9,11,7,4,57.142857,63.636364,0.180000
40,7.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
40,7.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
40,7.000000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
40,7.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.220000
40,7.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.230000
40,7.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.240000
40,9.000000,0.250000,21,11,10,11,7,4,52.380952,63.636364,0.150000
40,9.000000,0.250000,21,11,10,11,7,4,52.380952,63.636364,0.160000
40,9.000000,0.250000,21,12,9,11,7,4,57.142857,63.636364,0.170000
40,9.000000,0.250000,21,12,9,11,7,4,57.142857,63.636364,0.180000
40,9.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
40,9.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
40,9.000000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
40,9.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.220000
40,9.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.230000
40,9.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.240000
40,11.000000,0.250000,21,11,10,11,6,5,52.380952,54.545455,0.150000
40,11.000000,0.250000,21,11,10,11,6,5,52.380952,54.545455,0.160000
